"","domain","phylum","class","order","family","genus","otu"
"OTU_1358","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","unclassified_Actinomycetales","unclassified_Actinomycetales","OTU_1358"
"OTU_1202","Bacteria","Cyanobacteria_Chloroplast","Chloroplast","unclassified_Chloroplast","Chloroplast","Streptophyta","OTU_1202"
"OTU_291","Bacteria","Fusobacteria","Fusobacteria","Fusobacteriales","Fusobacteriaceae","Fusobacterium","OTU_291"
"OTU_675","Bacteria","Fusobacteria","Fusobacteria","Fusobacteriales","Fusobacteriaceae","Fusobacterium","OTU_675"
"OTU_764","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","OTU_764"
"OTU_469","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","OTU_469"
"OTU_981","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified_Clostridiales","unclassified_Clostridiales","OTU_981"
"OTU_1758","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","OTU_1758"
"OTU_921","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","OTU_921"
"OTU_1178","Bacteria","Cyanobacteria_Chloroplast","Chloroplast","unclassified_Chloroplast","Chloroplast","Streptophyta","OTU_1178"
"OTU_114","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","OTU_114"
"OTU_1860","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","OTU_1860"
"OTU_873","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","unclassified_Porphyromonadaceae","OTU_873"
"OTU_151","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Acidaminococcaceae","Acidaminococcus","OTU_151"
"OTU_1615","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Butyricicoccus","OTU_1615"
"OTU_217","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified_Ruminococcaceae","OTU_217"
"OTU_1079","Bacteria","Firmicutes","unclassified_Firmicutes","unclassified_Firmicutes","unclassified_Firmicutes","unclassified_Firmicutes","OTU_1079"
"OTU_698","Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","unclassified_Bacteria","OTU_698"
"OTU_865","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Barnesiella","OTU_865"
